"openTime","openPrice","highPrice","lowPrice","closePrice","volume","closeTime","quoteAssetVolume","numberOfTrades","takerBuyBaseAssetVolume","takerBuyQuoteAssetVolume","ignored"
1515788340000,0.00787,0.00787,0.007815,0.007815,21,1515788399999,0.164406,4,3,0.02361,"0"
1515788400000,0.007815,0.00787,0.007815,0.007815,84.59,1515788459999,0.66209115,8,6,0.047016,"0"
1515788460000,0.007815,0.007848,0.007815,0.007848,12.11,1515788519999,0.09467562,2,1.09,0.00855432,"0"
1515788520000,0.007815,0.007839,0.007814,0.007814,83.59,1515788579999,0.65357749,6,17.46,0.13677454,"0"
1515788580000,0.007805,0.007805,0.007805,0.007805,46.2,1515788639999,0.360591,2,46.2,0.360591,"0"
1515788640000,0.007786,0.007788,0.007786,0.007786,57.51,1515788699999,0.44786678,6,0,0,"0"
1515788700000,0.007763,0.007763,0.00752,0.007537,1271.97,1515788759999,9.70920593,15,402.52,3.12476276,"0"
1515788760000,0.007743,0.007744,0.007537,0.007707,334.26,1515788819999,2.56752276,15,282.26,2.16488676,"0"
1515788820000,0.007744,0.007744,0.007651,0.007744,165.81,1515788879999,1.28246001,8,148.9,1.1530816,"0"
1515788880000,0.007744,0.007744,0.007744,0.007744,0,1515788939999,0,0,0,0,"0"
1515788940000,0.007744,0.007744,0.007744,0.007744,17.18,1515788999999,0.13304192,1,17.18,0.13304192,"0"
1515789000000,0.007744,0.007744,0.007744,0.007744,0,1515789059999,0,0,0,0,"0"
1515789060000,0.007744,0.007744,0.007744,0.007744,0,1515789119999,0,0,0,0,"0"
1515789120000,0.007744,0.007744,0.007744,0.007744,0,1515789179999,0,0,0,0,"0"
1515789180000,0.007744,0.007744,0.007744,0.007744,0,1515789239999,0,0,0,0,"0"
1515789240000,0.007808,0.007818,0.007808,0.007818,70.28,1515789299999,0.54921234,6,70.28,0.54921234,"0"
1515789300000,0.00782,0.00782,0.007771,0.007771,86.66,1515789359999,0.67715886,7,76,0.59432,"0"
1515789360000,0.007771,0.007771,0.007771,0.007771,0,1515789419999,0,0,0,0,"0"
1515789420000,0.007845,0.007845,0.007843,0.007843,10.45,1515789479999,0.08196495,2,10.45,0.08196495,"0"
1515789480000,0.00784,0.00784,0.00784,0.00784,6.62,1515789539999,0.0519008,1,6.62,0.0519008,"0"
1515789540000,0.007798,0.007798,0.007797,0.007798,16.5,1515789599999,0.1286565,5,3,0.023394,"0"
1515789600000,0.007845,0.007845,0.007845,0.007845,26.01,1515789659999,0.20404845,4,26.01,0.20404845,"0"
1515789660000,0.007845,0.007845,0.007845,0.007845,0,1515789719999,0,0,0,0,"0"
1515789720000,0.00787,0.00787,0.00787,0.00787,11.15,1515789779999,0.0877505,1,11.15,0.0877505,"0"
1515789780000,0.007877,0.007877,0.007877,0.007877,6,1515789839999,0.047262,1,6,0.047262,"0"
1515789840000,0.007877,0.007877,0.007877,0.007877,0,1515789899999,0,0,0,0,"0"
1515789900000,0.007917,0.00794,0.007917,0.007939,338.6,1515789959999,2.68833188,9,14,0.11108,"0"
1515789960000,0.007939,0.007939,0.007939,0.007939,0,1515790019999,0,0,0,0,"0"
1515790020000,0.007938,0.007939,0.007877,0.007877,182.33,1515790079999,1.44514605,8,145.22,1.15283058,"0"
